index,course_id,first_item_id,num_of_items,dropout_percentage,course_days,forum_counts,assessment_counts,asssignemnt_counts,required_review_counts,grading_types,submission_types,is_graded_x,quiz_is_graded_x,assessment_passing_fraction_x,global_item_time_commitment_x,question_counts_x,checkbox_percentage_x,checkboxReflect_percentage_x,codeExpression_percentage_x,math expression_percentage_x,mcq_percentage_x,mcqReflect_percentage_x,reflect_percentage_x,regex_percentage_x,single numeric_percentage_x,text exact match_percentage_x,is_staff_graded_x,second_item_id,is_graded_y,quiz_is_graded_y,assessment_passing_fraction_y,global_item_time_commitment_y,question_counts_y,checkbox_percentage_y,checkboxReflect_percentage_y,codeExpression_percentage_y,math expression_percentage_y,mcq_percentage_y,mcqReflect_percentage_y,reflect_percentage_y,regex_percentage_y,single numeric_percentage_y,text exact match_percentage_y,is_staff_graded_y
97,ZLvhe1yyEeqRbA7uHbU8Mw,o9oNa,12,0.018328445747800588,58.93518518518518,12.907407407407407,36.0,0.0,0.0,0.0,0.0,True,True,0.75,960000.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,pprFL,True,True,0.75,960000.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,ZOqHNEONEeaeRgqQhMBV5Q,WVD0d,4,0.17334721499219158,36.39823008849557,6.0,25.0,17.0,51.0,1.0,3.0,True,True,0.7,1800000.0,40.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,K1esm,True,True,0.7,1800000.0,38.0,0.3157894736842105,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0
99,_nPk0sh8Eeu0XApuhnGpjQ,EamWM,4,0.07300188797986155,39.148936170212764,5.0,10.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,tBcjP,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,b3IJjkJkEey2HhKRvGWgpQ,GUGrP,4,0.07802294792586055,38.170731707317074,5.0,11.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,44.0,0.3409090909090909,0.0,0.0,0.0,0.6590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,K5jR6,True,True,0.7,1800000.0,46.0,0.4347826086956521,0.0,0.0,0.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0
103,bZf1YEfEEeylbAqjSwTWlQ,FFmpO,4,0.05692883895131086,38.170731707317074,5.0,14.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,20.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,ec9Wp,True,True,0.7,1800000.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,bkFA26nvEeum6BIHGrznzw,XmUuF,4,0.05097706032285471,39.148936170212764,5.0,16.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,38.0,0.1052631578947368,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,XlnBo,True,True,0.7,1800000.0,40.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
108,d0Liq6RGEeuDgAowKXa1Bw,0g7fB,4,0.18267610380856084,41.99029126213592,5.0,16.07766990291262,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,47.0,0.425531914893617,0.0,0.0,0.0,0.574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,ShfCc,True,True,0.7,1800000.0,47.0,0.2127659574468085,0.0,0.0,0.0,0.7872340425531915,0.0,0.0,0.0,0.0,0.0,0.0
110,dZEaNbNjEeurEQ7HpnWdKw,M3yP4,5,0.08338028169014085,39.56818181818182,6.0,29.0,5.0,15.0,2.0,1.0,True,True,0.7,1800000.0,40.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,C0f3a,True,True,0.7,1800000.0,40.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
111,dZoAyibQEeiHXRK9Gf-Ucg,yemPu,4,0.060350030175015085,35.08474576271186,5.0,23.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gnnyr,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,dwUPa14hEeWhGRIiCxDaqw,2nypb,10,0.0473331471655962,44.91338582677165,9.905511811023622,97.31496062992126,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,16.0,0.625,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0625,0.0625,0.0,LZ8nD,True,True,0.7,1800000.0,17.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.4705882352941176,0.0,0.0
113,eDH2LZq7EeW6bw4ogk2HGQ,gx1CY,8,0.0,365.0,7.0,32.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2ALEK,True,True,0.8,1800000.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,fgTgTB7IEeaLkRI7JN9TzQ,MSXhC,7,0.0,365.0,6.0,48.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,jqr2Y,True,True,0.8,1800000.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,gTB3hmBTEemmohK7SwfByg,3IETK,4,0.2002029941639178,37.33112582781457,5.0,19.0,0.0,0.0,0.0,0.0,True,True,0.7,0.0,38.0,0.1052631578947368,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,RAqEp,True,True,0.7,0.0,41.0,0.0975609756097561,0.0,0.0,0.0,0.902439024390244,0.0,0.0,0.0,0.0,0.0,0.0
118,gZ6cbKKkEeW1Bw7HN8tFsw,9zin6,12,0.17951968973747018,41.15966386554622,9.0,119.0,5.0,15.0,2.0,1.0,True,True,0.8,1800000.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,W490F,True,True,0.8,1800000.0,16.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
120,hY2iRD3pEe6hFxLQCGE4Mw,3JyQx,4,0.4954128440366973,47.333333333333336,5.0,57.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,17.0,0.2941176470588235,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.2941176470588235,0.0,0.0,eH5Ve,True,True,0.65,3600000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,i2Uj-RsyEe6n7gpaVjGbbw,U2Va1,4,0.2541436464088398,47.833333333333336,5.0,12.0,0.0,0.0,0.0,0.0,True,True,0.7,2400000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nbzfs,True,True,0.7,2400000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,iZHrnSosEemDZwrGWyELLA,T6Qd6,4,0.03333333333333333,48.0,7.0,7.0,0.0,0.0,0.0,0.0,True,True,1.0,1800000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,p3dPT,True,True,1.0,1800000.0,26.0,0.1923076923076923,0.0,0.0,0.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
125,jh4YTdysEeSnbSIACyCHUg,zADCM,7,0.2710278812582483,55.65217391304348,11.0,79.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,jojaX,True,True,0.75,1800000.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,k1pCqjR0Ee2OTg6-ghpzvQ,tKo06,4,0.3,45.44827586206897,8.0,15.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,41.0,0.1219512195121951,0.0,0.0,0.0,0.8780487804878049,0.0,0.0,0.0,0.0,0.0,0.0,2rrse,True,True,0.7,1800000.0,41.0,0.1219512195121951,0.0,0.0,0.0,0.8780487804878049,0.0,0.0,0.0,0.0,0.0,0.0
129,kqfrU2P-EeaUpRK1m-OeVQ,zBXl1,6,0.0,55.161904761904765,8.0,1128.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,143.0,0.2797202797202797,0.0,0.0,0.0,0.7202797202797203,0.0,0.0,0.0,0.0,0.0,0.0,N9Z6H,True,True,0.8,1800000.0,152.0,0.0526315789473684,0.0,0.0,0.0,0.9473684210526316,0.0,0.0,0.0,0.0,0.0,0.0
